trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
649,False,"{'a': 0.6, 'e': 0.3509999999999994}",25,0,-64.52408880200355,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",1
650,False,"{'a': 0.6, 'e': 0.3499999999999994}",35,26,12.520954231795642,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
651,False,"{'a': 0.6, 'e': 0.3489999999999994}",25,7,-13.286474824522257,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
652,False,"{'a': 0.6, 'e': 0.3479999999999994}",25,11,-45.625305548312326,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
653,False,"{'a': 0.6, 'e': 0.3469999999999994}",20,5,19.86559149441115,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
654,False,"{'a': 0.6, 'e': 0.3459999999999994}",20,0,-81.09997202741512,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
655,False,"{'a': 0.6, 'e': 0.3449999999999994}",25,11,-8.940940170495658,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
656,False,"{'a': 0.6, 'e': 0.3439999999999994}",30,18,0.4901728235454219,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
657,False,"{'a': 0.6, 'e': 0.3429999999999994}",25,12,0.701343623269338,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
658,False,"{'a': 0.6, 'e': 0.3419999999999994}",20,5,-39.83779372246805,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 1}",1
659,False,"{'a': 0.6, 'e': 0.3409999999999994}",30,14,-14.96319442672844,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 0}",1
660,False,"{'a': 0.6, 'e': 0.3399999999999994}",20,12,-39.06634580031205,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
661,False,"{'a': 0.6, 'e': 0.3389999999999994}",20,0,-13.43117883543296,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
